Date,Open,High,Low,Close,Volume
2024-01-02,150.50,152.00,149.50,151.75,22000000
2024-01-03,151.00,153.50,150.00,153.00,28000000
2024-01-04,153.25,154.00,151.25,152.50,25000000
2024-01-05,152.00,152.25,149.75,150.00,31000000
2024-01-06,150.25,151.75,149.00,151.50,20000000
2024-01-07,151.75,155.00,151.50,154.75,35000000
2024-01-08,154.25,156.75,153.50,156.00,33000000
2024-01-09,155.75,157.00,154.50,155.25,29000000
2024-01-10,155.00,156.50,153.75,155.50,26000000
2024-01-11,155.75,157.25,154.00,156.75,30000000
2024-01-12,156.50,157.00,155.00,155.75,24000000
2024-01-13,155.50,157.25,155.00,156.50,27000000
2024-01-14,156.25,158.00,155.75,157.75,32000000
2024-01-15,157.50,158.25,156.00,157.00,26000000
2024-01-16,156.75,158.50,156.25,157.25,29000000
2024-01-17,157.00,158.00,156.50,157.50,25000000
2024-01-18,157.25,158.75,156.75,158.00,31000000
2024-01-19,157.75,158.25,156.50,157.00,28000000
2024-01-20,156.75,158.00,156.00,157.50,27000000
2024-01-21,157.25,158.75,156.75,158.00,30000000
2024-01-22,157.75,158.25,156.50,157.00,24000000
2024-01-23,156.75,158.00,156.00,157.50,26000000
2024-01-24,157.25,158.75,156.75,158.00,30000000
2024-01-25,157.75,158.25,156.50,157.00,28000000
2024-01-26,156.75,158.00,156.00,157.50,27000000
2024-01-27,157.25,158.75,156.75,158.00,30000000
2024-01-28,157.75,158.25,156.50,157.00,24000000
2024-01-29,156.75,158.00,156.00,157.50,26000000
2024-01-30,157.25,158.75,156.75,158.00,30000000
2024-01-31,157.75,158.25,156.50,157.00,28000000
2024-02-01,156.75,158.00,156.00,157.50,27000000
2024-02-02,157.25,158.75,156.75,158.00,30000000
2024-02-03,157.75,158.25,156.50,157.00,24000000
2024-02-04,156.75,158.00,156.00,157.50,26000000
2024-02-05,157.25,158.75,156.75,158.00,30000000
2024-02-06,157.75,158.25,156.50,157.00,28000000
2024-02-07,156.75,158.00,156.00,157.50,27000000
2024-02-08,157.25,158.75,156.75,158.00,30000000
2024-02-09,157.75,158.25,156.50,157.00,24000000
2024-02-10,156.75,158.00,156.00,157.50,26000000
2024-02-11,157.25,158.75,156.75,158.00,30000000
2024-02-12,157.75,158.25,156.50,157.00,28000000
2024-02-13,156.75,158.00,156.00,157.50,27000000
2024-02-14,157.25,158.75,156.75,158.00,30000000
2024-02-15,157.75,158.25,156.50,157.00,24000000
2024-02-16,156.75,158.00,156.00,157.50,26000000
2024-02-17,157.25,158.75,156.75,158.00,30000000
2024-02-18,157.75,158.25,156.50,157.00,28000000
2024-02-19,156.75,158.00,156.00,157.50,27000000
2024-02-20,157.25,158.75,156.75,158.00,30000000
2024-02-21,157.75,158.25,156.50,157.00,24000000
2024-02-22,156.75,158.00,156.00,157.50,26000000
2024-02-23,157.25,158.75,156.75,158.00,30000000
2024-02-24,157.75,158.25,156.50,157.00,28000000
2024-02-25,156.75,158.00,156.00,157.50,27000000
2024-02-26,157.25,158.75,156.75,158.00,30000000
2024-02-27,157.75,158.25,156.50,157.00,24000000
2024-02-28,156.75,158.00,156.00,157.50,27000000
2024-02-29,157.25,158.75,156.75,158.00,30000000
2024-03-01,157.75,158.25,156.50,157.00,28000000
2024-03-02,156.75,158.00,156.00,157.50,27000000
2024-03-03,157.25,158.75,156.75,158.00,30000000
2024-03-04,157.75,158.25,156.50,157.00,24000000
2024-03-05,156.75,158.00,156.00,157.50,26000000
2024-03-06,157.25,158.75,156.75,158.00,30000000
2024-03-07,157.75,158.25,156.50,157.00,28000000
2024-03-08,156.75,158.00,156.00,157.50,27000000
2024-03-09,157.25,158.75,156.75,158.00,30000000
2024-03-10,157.75,158.25,156.50,157.00,24000000
2024-03-11,156.75,158.00,156.00,157.50,26000000
2024-03-12,157.25,158.75,156.75,158.00,30000000
2024-03-13,157.75,158.25,156.50,157.00,28000000
2024-03-14,156.75,158.00,156.00,157.50,27000000
2024-03-15,157.25,158.75,156.75,158.00,30000000
2024-03-16,157.75,158.25,156.50,157.00,24000000
2024-03-17,156.75,158.00,156.00,157.50,26000000
2024-03-18,157.25,158.75,156.75,158.00,30000000
2024-03-19,157.75,158.25,156.50,157.00,28000000
2024-03-20,156.75,158.00,156.00,157.50,27000000
2024-03-21,157.25,158.75,156.75,158.00,30000000
2024-03-22,157.75,158.25,156.50,157.00,24000000
2024-03-23,156.75,158.00,156.00,157.50,27000000
2024-03-24,157.25,158.75,156.75,158.00,30000000
2024-03-25,157.75,158.25,156.50,157.00,28000000
2024-03-26,156.75,158.00,156.00,157.50,27000000
2024-03-27,157.25,158.75,156.75,158.00,30000000
2024-03-28,157.75,158.25,156.50,157.00,24000000
2024-03-29,156.75,158.00,156.00,157.50,26000000
2024-03-30,157.25,158.75,156.75,158.00,30000000
2024-03-31,157.75,158.25,156.50,157.00,28000000
2024-04-01,156.75,158.00,156.00,157.50,27000000
2024-04-02,157.25,158.75,156.75,158.00,30000000
2024-04-03,157.75,158.25,156.50,157.00,24000000
2024-04-04,156.75,158.00,156.00,157.50,26000000
2024-04-05,157.25,158.75,156.75,158.00,30000000
2024-04-06,157.75,158.25,156.50,157.00,28000000
2024-04-07,156.75,158.00,156.00,157.50,27000000
